frame_number,x,y,width,height,status,fps
320,118,81,69,135,TRACKING,18.4661
321,117,81,69,135,TRACKING,18.8361
322,118,81,69,135,TRACKING,20.9603
323,118,80,69,135,TRACKING,18.5068
324,118,80,69,135,TRACKING,19.4065
325,118,80,69,135,TRACKING,16.9203
326,118,80,69,135,TRACKING,18.8574
327,118,81,69,135,TRACKING,19.0882
328,118,81,69,135,TRACKING,20.568
329,118,81,69,135,TRACKING,18.2741
330,118,81,69,135,TRACKING,19.415
331,118,81,69,135,TRACKING,17.7317
332,119,80,69,135,TRACKING,19.4187
333,119,80,69,135,TRACKING,18.3128
334,118,80,69,135,TRACKING,16.5025
335,119,80,69,135,TRACKING,19.1478
336,120,79,69,135,TRACKING,16.7612
337,119,79,69,135,TRACKING,18.3051
338,119,79,69,135,TRACKING,19.216
339,119,79,69,135,TRACKING,18.8217
340,120,78,69,135,TRACKING,18.0835
341,119,78,69,135,TRACKING,15.4744
342,119,78,69,135,TRACKING,19.904
343,119,78,69,135,TRACKING,19.1542
344,119,77,69,135,TRACKING,18.5304
345,119,77,69,135,TRACKING,18.9545
346,119,77,69,135,TRACKING,18.7417
347,119,76,69,135,TRACKING,19.7393
348,118,76,69,135,TRACKING,18.0748
349,117,76,69,135,TRACKING,18.6724
350,118,77,69,135,TRACKING,18.1927
351,117,77,69,135,TRACKING,16.4944
352,117,77,69,135,TRACKING,18.8984
353,116,77,69,135,TRACKING,18.5818
354,116,77,69,135,TRACKING,16.9392
355,116,77,69,135,TRACKING,18.0602
356,115,77,69,135,TRACKING,17.8986
357,114,77,69,135,TRACKING,18.9269
358,114,77,69,135,TRACKING,17.7564
359,113,77,69,135,TRACKING,17.5982
360,113,76,69,135,TRACKING,18.363
361,112,77,69,135,TRACKING,18.167
362,112,76,69,135,TRACKING,19.1128
363,110,77,69,135,TRACKING,18.8048
364,110,76,69,135,TRACKING,18.5302
365,109,76,69,135,TRACKING,19.1251
366,108,75,69,135,TRACKING,17.2785
367,107,75,69,135,TRACKING,19.8985
368,106,74,69,135,TRACKING,19.1547
369,104,74,69,135,TRACKING,19.874
370,103,74,69,135,TRACKING,17.5155
371,103,74,69,135,TRACKING,18.4448
372,103,74,69,135,TRACKING,19.7353
373,105,73,69,135,TRACKING,14.8023
374,108,73,69,135,TRACKING,14.728
375,112,73,69,135,TRACKING,20.0745
376,113,73,69,135,TRACKING,17.368
377,113,73,69,135,TRACKING,18.4866
378,116,73,69,135,TRACKING,15.1017
379,116,74,69,135,TRACKING,15.8781
380,117,74,69,135,TRACKING,18.8818
381,116,75,69,135,TRACKING,19.1442
382,116,74,69,135,TRACKING,18.6467
383,116,75,69,135,TRACKING,19.5396
384,115,76,69,135,TRACKING,19.4686
385,115,76,69,135,TRACKING,18.6987
386,115,76,69,135,TRACKING,19.628
387,115,76,69,135,TRACKING,19.6736
388,115,76,69,135,TRACKING,20.1898
389,114,76,69,135,TRACKING,20.2829
390,115,75,69,135,TRACKING,19.7379
391,115,76,69,135,TRACKING,16.9075
392,114,75,69,135,TRACKING,19.1076
393,115,75,69,135,TRACKING,19.4104
394,114,76,69,135,TRACKING,19.5647
395,114,75,69,135,TRACKING,18.2463
396,114,76,69,135,TRACKING,18.5844
397,114,75,69,135,TRACKING,14.0637
398,114,76,69,135,TRACKING,18.7295
399,114,76,69,135,TRACKING,16.3604
400,114,75,69,135,TRACKING,17.7623
401,114,76,69,135,TRACKING,18.562
402,114,75,69,135,TRACKING,18.6226
403,114,76,69,135,TRACKING,19.578
404,114,75,69,135,TRACKING,18.6804
405,114,75,69,135,TRACKING,18.7602
406,114,75,69,135,TRACKING,19.4668
407,114,75,69,135,TRACKING,19.2404
408,114,75,69,135,TRACKING,19.6143
409,114,75,69,135,TRACKING,19.4084
410,113,75,69,135,TRACKING,19.2472
411,114,74,69,135,TRACKING,19.9192
412,114,74,69,135,TRACKING,20.1797
413,114,74,69,135,TRACKING,19.5892
414,114,74,69,135,TRACKING,20.4138
415,114,74,69,135,TRACKING,19.2471
416,113,74,69,135,TRACKING,20.57
417,113,74,69,135,TRACKING,19.621
418,113,75,69,135,TRACKING,19.5487
419,113,75,69,135,TRACKING,18.1502
420,114,75,69,135,TRACKING,18.6557
421,113,75,69,135,TRACKING,19.3357
422,113,75,69,135,TRACKING,19.0518
423,114,74,69,135,TRACKING,19.5037
424,114,74,69,135,TRACKING,19.4272
425,114,74,69,135,TRACKING,20.0678
426,114,74,69,135,TRACKING,19.9513
427,114,74,69,135,TRACKING,18.8121
428,114,74,69,135,TRACKING,20.16
429,114,74,69,135,TRACKING,20.5877
430,114,74,69,135,TRACKING,20.7465
431,114,74,69,135,TRACKING,19.4126
432,113,74,69,135,TRACKING,17.6811
433,114,74,69,135,TRACKING,19.7009
434,113,74,69,135,TRACKING,18.8904
435,113,74,69,135,TRACKING,19.5675
436,113,74,69,135,TRACKING,18.5394
437,113,74,69,135,TRACKING,19.8323
438,113,74,69,135,TRACKING,20.1738
439,113,74,69,135,TRACKING,18.3482
440,113,73,69,135,TRACKING,19.7826
441,113,73,69,135,TRACKING,19.9127
442,113,74,69,135,TRACKING,19.4769
443,113,74,69,135,TRACKING,19.427
444,113,74,69,135,TRACKING,18.219
445,113,74,69,135,TRACKING,18.8236
446,113,74,69,135,TRACKING,19.6612
447,113,74,69,135,TRACKING,20.4032
448,113,74,69,135,TRACKING,20.4004
449,114,74,69,135,TRACKING,20.5394
450,113,74,69,135,TRACKING,19.1896
451,114,74,69,135,TRACKING,19.2327
452,113,74,69,135,TRACKING,17.6949
453,114,74,69,135,TRACKING,19.6172
454,113,74,69,135,TRACKING,19.2708
455,113,74,69,135,TRACKING,19.4265
456,113,74,69,135,TRACKING,19.9779
457,113,74,69,135,TRACKING,20.3765
458,113,74,69,135,TRACKING,20.76
459,113,74,69,135,TRACKING,19.2325
460,113,74,69,135,TRACKING,20.4215
461,113,74,69,135,TRACKING,20.5863
462,113,74,69,135,TRACKING,20.8024
463,113,74,69,135,TRACKING,19.0922
464,113,73,69,135,TRACKING,20.7696
465,113,74,69,135,TRACKING,19.5666
466,113,74,69,135,TRACKING,18.8086
467,113,74,69,135,TRACKING,20.0793
468,114,74,69,135,TRACKING,19.3927
469,114,74,69,135,TRACKING,18.1555
470,113,74,69,135,TRACKING,21.5134
471,113,74,69,135,TRACKING,20.4726
472,114,74,69,135,TRACKING,18.6373
473,114,73,69,135,TRACKING,21.7686
474,114,74,69,135,TRACKING,20.2807
475,113,74,69,135,TRACKING,20.2575
476,113,74,69,135,TRACKING,20.1064
477,114,74,69,135,TRACKING,19.2244
478,113,74,69,135,TRACKING,18.4404
479,114,73,69,135,TRACKING,19.3571
480,113,73,69,135,TRACKING,20.0351
481,113,73,69,135,TRACKING,21.9364
482,113,73,69,135,TRACKING,19.2509
483,113,73,69,135,TRACKING,19.214
484,113,73,69,135,TRACKING,18.77
485,113,73,69,135,TRACKING,20.8541
486,114,73,69,135,TRACKING,20.7017
487,114,73,69,135,TRACKING,20.1899
488,113,73,69,135,TRACKING,19.9812
489,113,73,69,135,TRACKING,19.8583
490,114,73,69,135,TRACKING,20.512
491,114,73,69,135,TRACKING,19.2227
492,113,73,69,135,TRACKING,20.7739
493,114,73,69,135,TRACKING,19.2252
